system:index,dataset,f1_score_target_1,false_negative,false_positive,jumlah_samples,kappa,number_of_trees,overall_accuracy,precision_target_1,random_seed,recall_target_1,split_ratio,target_class,target_label,true_negative,true_positive,.geo
0,Training,0.9812734082397003,4,1,280,0.9642126789366052,150,0.9821428571428571,0.9924242424242424,42,0.9703703703703703,70:30,1,Vegetasi,144,131,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,Testing,0.962406015037594,1,4,120,0.9157303370786518,150,0.9583333333333334,0.9411764705882353,42,0.9846153846153847,70:30,1,Vegetasi,51,64,"{""type"":""MultiPoint"",""coordinates"":[]}"
