system:index,area_ha,area_km2,category,class,percentage_of_city,year,.geo
0,6104.848297421261,61.04848297421261,Non-vegetasi,0,20.072374941726657,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,24149.77530550814,241.4977530550814,Vegetasi,1,79.40301233945003,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
