B2,B3,B4,B8,B11,B12,NDVI,NDWI,NDBI,BSI,class,year,label,random
0.03375,0.05585,0.0297,0.3588,0.1534,0.06395,0.84710425,-0.73061615,-0.40101522,-0.36384955,1,2024,vegetasi,0.29335630445059235
0.0279,0.05295,0.0279,0.3726,0.1541,0.06775,0.86067414,-0.7511456,-0.41484714,-0.3751073,1,2024,vegetasi,0.17282070912573888
0.0258,0.0454,0.0222,0.2896,0.1191,0.0529,0.85760105,-0.7289552,-0.41717646,-0.38121307,1,2024,vegetasi,0.5885409516962609
0.0263,0.0494,0.0202,0.402,0.1703,0.0704,0.90431076,-0.78112537,-0.40485758,-0.3842922,1,2024,vegetasi,0.2849797852229059
0.0318,0.0591,0.0235,0.3672,0.1402,0.0611,0.8797031,-0.72273046,-0.44737875,-0.4181624,1,2024,vegetasi,0.144024364551962
0.0254,0.0444,0.0229,0.2584,0.132,0.0538,0.8371845,-0.7067371,-0.3237705,-0.29382265,1,2024,vegetasi,0.26347385329200035
0.02465,0.0519,0.02255,0.3015,0.1275,0.05285,0.8608239,-0.70628184,-0.4055944,-0.3698026,1,2024,vegetasi,0.7974754028997474
0.0254,0.0407,0.0224,0.3009,0.14015,0.06595,0.86142904,-0.76170963,-0.36447117,-0.33496985,1,2024,vegetasi,0.025473679844956743
0.0245,0.0512,0.0187,0.4212,0.1648,0.0661,0.91498065,-0.78323454,-0.43754265,-0.41671965,1,2024,vegetasi,0.7121798234906559
0.0164,0.04345,0.01575,0.38,0.154,0.0679,0.9204043,-0.79478097,-0.42322096,-0.4003356,1,2024,vegetasi,0.9411803315103452
0.01885,0.0351,0.01485,0.3192,0.1422,0.0626,0.91109115,-0.80186284,-0.3836151,-0.36558273,1,2024,vegetasi,0.6369940401464937
0.02065,0.0391,0.01785,0.3264,0.1483,0.06365,0.8962963,-0.7860465,-0.37518433,-0.35249415,1,2024,vegetasi,0.5450329716607766
0.0375,0.0562,0.0317,0.3912,0.1611,0.0749,0.85008276,-0.74877065,-0.41662142,-0.37956557,1,2024,vegetasi,0.5488523116328172
0.0243,0.0433,0.0199,0.2912,0.1311,0.0543,0.87206686,-0.74110615,-0.3791144,-0.35262597,1,2024,vegetasi,0.7212829157932634
0.0318,0.0518,0.026,0.3156,0.1641,0.0731,0.84777516,-0.71801853,-0.3158224,-0.29265115,1,2024,vegetasi,0.7298425570969498
0.0279,0.0499,0.0196,0.344,0.1379,0.0593,0.8921892,-0.7466362,-0.42768213,-0.4049868,1,2024,vegetasi,0.573784232738455
0.0251,0.0552,0.01625,0.4264,0.15025,0.0644,0.9265786,-0.7707641,-0.47888666,-0.46116504,1,2024,vegetasi,0.8604885582889998
0.02625,0.05105,0.02105,0.4048,0.15765,0.06835,0.9011389,-0.7760228,-0.43941686,-0.41385815,1,2024,vegetasi,0.8883094668930518
0.0296,0.04335,0.0204,0.3047,0.15295,0.0596,0.87450016,-0.7508978,-0.33158523,-0.31704912,1,2024,vegetasi,0.7237640762428618
0.03275,0.05165,0.0273,0.327,0.16005,0.06905,0.8458933,-0.7271887,-0.34277794,-0.31511605,1,2024,vegetasi,0.817002572843011
0.042,0.0681,0.0289,0.4204,0.1953,0.0963,0.8713554,-0.7211873,-0.36560014,-0.3469269,1,2024,vegetasi,0.7054590213090395
0.0267,0.0475,0.0208,0.2888,0.1205,0.0488,0.8656331,-0.71751416,-0.41118985,-0.38134852,1,2024,vegetasi,0.15627830283158017
0.0282,0.0534,0.0244,0.3816,0.1562,0.0663,0.87980294,-0.75448275,-0.4191149,-0.38821137,1,2024,vegetasi,0.2828247260150606
0.0266,0.0465,0.0238,0.3128,0.1726,0.0768,0.85858583,-0.7411634,-0.28883395,-0.26689062,1,2024,vegetasi,0.9969323304391593
0.0385,0.069,0.0341,0.3716,0.1798,0.0725,0.8318955,-0.68679076,-0.34784186,-0.31442308,1,2024,vegetasi,0.823766033371167
0.0281,0.0444,0.0234,0.3808,0.1708,0.0729,0.8842157,-0.7911571,-0.38071066,-0.35599405,1,2024,vegetasi,0.4994127914144869
0.0255,0.0382,0.0234,0.3272,0.179,0.0799,0.86651456,-0.79091406,-0.29276964,-0.270762,1,2024,vegetasi,0.795816281846403
0.0372,0.0659,0.0298,0.4444,0.1661,0.0738,0.87431467,-0.74172056,-0.45585588,-0.42169744,1,2024,vegetasi,0.15749340288070446
0.02645,0.05205,0.02,0.3252,0.13205,0.05655,0.8841252,-0.72405565,-0.42241663,-0.39626762,1,2024,vegetasi,0.49454408887783774
0.0291,0.05575,0.02355,0.3464,0.14425,0.05865,0.8726855,-0.72274023,-0.41200447,-0.38229337,1,2024,vegetasi,0.008198301111935424
0.0259,0.04735,0.02155,0.3414,0.1401,0.06285,0.88125086,-0.75639874,-0.41806853,-0.38878912,1,2024,vegetasi,0.4548117427664915
0.0223,0.0384,0.01855,0.327,0.15665,0.06685,0.8926349,-0.78981936,-0.3522175,-0.33193514,1,2024,vegetasi,0.031182929161555184
0.0395,0.08165,0.0373,0.361,0.21075,0.0927,0.81270397,-0.6310855,-0.2627897,-0.23506284,1,2024,vegetasi,0.4087633779787687
0.0369,0.06975,0.03435,0.3908,0.1821,0.0786,0.83840996,-0.6971013,-0.36428696,-0.32795158,1,2024,vegetasi,0.2023158134435028
0.0206,0.0393,0.0176,0.2842,0.1142,0.0469,0.88336647,-0.75703245,-0.42670682,-0.39624372,1,2024,vegetasi,0.5059102351481871
0.0348,0.0646,0.0255,0.4112,0.1961,0.0794,0.883215,-0.72845733,-0.35419068,-0.33612943,1,2024,vegetasi,0.3161799351917094
